"","member","word","freq"
"1","Adam Afriyie","stable",0.612388234656786
"2","Adam Afriyie","securing",0.387878598558382
"3","Adam Afriyie","guidance",0.352852358625409
"4","Adam Afriyie","housing",0.301516858184551
"5","Adam Afriyie","families",0.286668547514479
"6","Adam Afriyie","veterans",0.250892355064684
"7","Adam Afriyie","provides",0.204451518759527
"8","Adam Afriyie","support",0.18980408593357
"9","Adam Afriyie","military",0.161062736646857
"10","Adam Afriyie","will",0.100863212342483
"11","Adam Afriyie","defence",0.00687043033542199
"12","Adam Afriyie","23",0
"13","Adam Holloway","libya",1.92940480459475
"14","Adam Holloway","libyan",0.972722639061104
"15","Adam Holloway","deploy",0.947518832373348
"16","Adam Holloway","troop",0.87906198063773
"17","Adam Holloway","occurrence",0.7949855280855
"18","Adam Holloway","sentry",0.734504334444594
"19","Adam Holloway","raised",0.662409191977093
"20","Adam Holloway","reports",0.604100157285605
"21","Adam Holloway","boeing",0.594624267839993
"22","Adam Holloway","accord",0.530127586414516
"23","Adam Holloway","safety",0.529166951249726
"24","Adam Holloway","1991",0.492347013059234
"25","Afzal Khan","rakhine",0.438081278705444
"26","Afzal Khan","rohingya",0.438081278705444
"27","Afzal Khan","myanmars",0.38721228113284
"28","Afzal Khan","violence",0.338609566376295
"29","Afzal Khan","minority",0.324401112951141
"30","Afzal Khan","continuing",0.279182705796707
"31","Afzal Khan","review",0.175023832341634
"32","Afzal Khan","provide",0.171951938770057
"33","Afzal Khan","reference",0.157377625758231
"34","Afzal Khan","training",0.148870300961102
"35","Afzal Khan","military",0.135460230366949
"36","Afzal Khan","armed",0.119029475654247
"37","Alan Brown","submarine",2.36690585493023
"38","Alan Brown","successor",1.5318892452852
"39","Alan Brown","nuclear",1.4178395664177
"40","Alan Brown","made",1.25255894416502
"41","Alan Brown","steel",1.19660420106198
"42","Alan Brown","trident",1.19494434935447
"43","Alan Brown","envisaged",1.16734302274766
"44","Alan Brown","review",1.10443333322126
"45","Alan Brown","strategic",1.0894696999012
"46","Alan Brown","answer",0.97742479205752
"47","Alan Brown","nonnuclear",0.924235335592913
"48","Alan Brown","uk",0.909504888976866
"49","Alec Shelbrooke","nonhazardous",0.35975104167886
"50","Alec Shelbrooke","veolia",0.35975104167886
"51","Alec Shelbrooke","expired",0.332872615687993
"52","Alec Shelbrooke","waste",0.274548447130994
"53","Alec Shelbrooke","hazardous",0.274548447130994
"54","Alec Shelbrooke","begin",0.254739971950383
"55","Alec Shelbrooke","weight",0.236514466432327
"56","Alec Shelbrooke","tendering",0.223008048219028
"57","Alec Shelbrooke","disposal",0.199711616815034
"58","Alec Shelbrooke","31",0.193913169158394
"59","Alec Shelbrooke","special",0.190809323316341
"60","Alec Shelbrooke","given",0.17314717935658
"61","Alex Cunningham","age",3.64126674221314
"62","Alex Cunningham","18",2.48597544775285
"63","Alex Cunningham","army",2.46324404396521
"64","Alex Cunningham","year",2.3277228363766
"65","Alex Cunningham","trained",2.32249651082891
"66","Alex Cunningham","enlisted",2.29099031289649
"67","Alex Cunningham","soldier",2.12833358278641
"68","Alex Cunningham","associated",2.02800881375669
"69","Alex Cunningham","school",1.8776704088268
"70","Alex Cunningham","2014",1.87443039590042
"71","Alex Cunningham","headgear",1.8280604805605
"72","Alex Cunningham","bearskin",1.78459427181844
"73","Alex Norris","first",0.868729108969039
"74","Alex Norris","strike",0.805274174222478
"75","Alex Norris","appointment",0.489294907485219
"76","Alex Norris","prime",0.462321901589101
"77","Alex Norris","discussed",0.452090991356908
"78","Alex Norris","leaving",0.449878822184735
"79","Alex Norris","eu",0.41248271508605
"80","Alex Norris","uk",0.375302980354526
"81","Alex Norris","capabl",0.366156765193032
"82","Alex Norris","made",0.200103932873589
"83","Alex Norris","will",0.134963414294534
